date,tests,newCases,activeCases,severeCases,recovered,deaths,rt
2020-01-16,NA,1,NA,NA,NA,NA,NA
2020-01-17,NA,0,NA,NA,NA,NA,NA
2020-01-18,NA,0,NA,NA,NA,NA,NA
2020-01-19,NA,0,NA,NA,NA,NA,NA
2020-01-20,NA,0,NA,NA,NA,NA,NA
2020-01-21,NA,0,NA,NA,NA,NA,NA
2020-01-22,NA,0,NA,NA,NA,NA,NA
2020-01-23,NA,0,NA,NA,NA,NA,NA
2020-01-24,NA,1,NA,NA,NA,NA,NA
2020-01-25,NA,1,NA,NA,NA,NA,NA
2020-01-26,NA,1,NA,NA,NA,NA,NA
2020-01-27,NA,0,NA,NA,NA,NA,NA
2020-01-28,NA,3,NA,NA,NA,NA,NA
2020-01-29,NA,1,NA,NA,1,NA,NA
2020-01-30,NA,3,NA,NA,1,NA,NA
2020-01-31,NA,1,NA,NA,1,NA,NA
2020-02-01,NA,0,NA,NA,1,NA,NA
2020-02-02,NA,0,NA,NA,1,NA,NA
2020-02-03,NA,0,NA,NA,1,NA,NA
2020-02-04,NA,2,15,NA,1,NA,NA
2020-02-05,4,2,16,0,4,NA,NA
2020-02-06,19,0,12,0,4,NA,NA
2020-02-07,9,0,12,0,6,NA,NA
2020-02-08,4,0,7,0,9,NA,NA
2020-02-09,10,0,7,0,9,NA,NA
2020-02-10,12,0,7,0,9,NA,NA
2020-02-11,4,0,6,0,10,NA,NA
2020-02-12,10,1,6,0,11,NA,NA
2020-02-13,16,4,6,0,11,NA,NA
2020-02-14,43,7,9,2,12,1,NA
2020-02-15,86,12,24,3,12,1,NA
2020-02-16,65,6,24,3,13,1,NA
2020-02-17,113,7,24,3,12,1,NA
2020-02-18,9,7,31,6,14,1,NA
2020-02-19,71,10,35,7,16,1,NA
2020-02-20,90,9,52,9,16,1,NA
2020-02-21,85,11,62,10,16,1,NA
2020-02-22,96,27,96,11,17,1,NA
2020-02-23,39,12,108,13,17,1,NA
2020-02-24,104,12,121,14,18,1,NA
2020-02-25,44,8,125,15,23,1,NA
2020-02-26,168,22,138,16,23,1,NA
2020-02-27,151,24,161,20,30,3,NA
2020-02-28,130,20,176,22,30,4,NA
2020-02-29,178,9,188,23,31,5,NA
2020-03-01,96,15,201,23,31,5,1.22
2020-03-02,71,14,212,24,32,6,1.19
2020-03-03,153,16,226,24,35,6,1.24
2020-03-04,3940,33,258,27,37,6,1.2
2020-03-05,699,31,271,30,38,6,1.13
2020-03-06,553,59,323,28,56,6,1.28
2020-03-07,147,47,366,33,63,6,1.65
2020-03-08,110,33,377,33,67,6,1.71
2020-03-09,1314,26,400,31,88,7,1.75
2020-03-10,424,54,437,26,89,9,1.85
2020-03-11,181,52,481,29,103,12,1.82
2020-03-12,1855,55,520,32,108,15,1.85
2020-03-13,859,40,548,35,120,19,1.48
2020-03-14,107,62,591,36,129,21,1.33
2020-03-15,42,33,603,41,142,22,1.26
2020-03-16,2083,15,621,46,149,24,1.19
2020-03-17,203,44,645,46,156,28,1.05
2020-03-18,NA,39,659,49,176,29,0.97
2020-03-19,3490,36,681,50,200,31,0.87
2020-03-20,119,53,723,55,212,33,0.94
2020-03-21,132,34,719,57,217,35,0.84
2020-03-22,56,42,743,54,257,36,0.87
2020-03-23,3862,38,763,55,270,41,0.94
2020-03-24,NA,65,816,57,285,42,1.01
2020-03-25,674,93,855,56,294,43,1.18
2020-03-26,1805,96,920,57,343,45,1.38
2020-03-27,1442,104,948,60,356,46,1.44
2020-03-28,296,194,1187,59,388,49,1.92
2020-03-29,206,185,1358,59,408,52,2.16
2020-03-30,3481,74,1423,59,408,54,2.11
2020-03-31,1914,218,1594,60,408,56,2.26
2020-04-01,NA,224,1757,62,456,57,2.21
2020-04-02,4685,253,1980,64,489,60,2.18
2020-04-03,3305,337,2227,69,498,63,2.27
2020-04-04,271,370,2553,70,559,69,1.99
2020-04-05,218,386,2921,79,568,70,1.87
2020-04-06,7876,270,3132,80,575,73,1.94
2020-04-07,4544,377,3472,99,605,80,1.81
2020-04-08,1383,550,3914,109,615,81,1.83
2020-04-09,2841,572,4461,117,668,85,1.8
2020-04-10,5389,708,5063,122,697,88,1.74
2020-04-11,1644,676,5751,129,745,94,1.72
